Time,ESS,Particles,Runtime_ms,rGNSS,rLiDAR,rOdom,Difficulty,lambdaMotion,lambdaGNSS,lambdaLiDAR,lambdaBroad,sigmaGNSS,sigmaLiDAR,sigmaLiDARYaw
0,11.8738265562336,201,4.4711,0.971187406274534,0.815629054689844,0.891334936563411,0.0701774903679504,0.330041337755711,0.350215848112641,0.294120598442737,0.0256222156889114,0.9,0.3,0.0443991223997943
0.200000000000003,61.1462566669849,300,1.7735,0.969433960271259,0.815629054689844,0.896137820601349,0.0667076018638791,0.331278549833196,0.349463596070223,0.294019679722705,0.0252381743738755,0.9,0.3,0.0443991223997943
0.400000000000002,74.143123646669,300,0.8222,0.942045264808083,0.815629054689844,0.895089521443593,0.0869002326920515,0.333647691987314,0.34232363033706,0.296386075531831,0.0276426021437957,0.9,0.3,0.0443991223997943
0.600000000000001,87.2528743342119,300,0.7707,0.950345429017317,0.815629054689844,0.895664396275241,0.0805301405343114,0.332983287619982,0.34448385118666,0.29565148557596,0.026881375617398,0.9,0.3,0.0443991223997943
0.800000000000001,101.898226429247,300,8.445,0.919364943825802,0.815629054689844,0.894836093077146,0.103023567999767,0.335777147738848,0.336286604876314,0.2983419451461,0.0295943022387382,0.9,0.3,0.0443991223997943
1,93.9467726989829,300,0.8193,0.949931661304481,0.815629054689844,0.893195114485425,0.083230652221459,0.332469476789578,0.344524897350107,0.295815507356495,0.0271901185038201,0.9,0.3,0.0443991223997943
1.2,87.4981701264196,300,0.3381,0.911572182004755,0.815629054689844,0.895447010730886,0.107883073193816,0.336672901947685,0.334152209502315,0.298982632576072,0.0301922559739282,0.9,0.3,0.0443991223997943
1.4,92.2701220407958,300,0.3688,0.960745696581994,0.815629054689844,0.892023662796888,0.0768096904184832,0.331180292019205,0.347442154731339,0.294962462211497,0.0264150910379587,0.9,0.3,0.0443991223997943
1.6,87.4694726295103,300,0.2992,0.970675847643634,0.815629054689844,0.890659727266621,0.0712004118535308,0.329938433729205,0.350123714312744,0.294198186575508,0.0257396653825434,0.9,0.3,0.0443991223997943
1.8,82.1533251941875,300,0.2807,0.958608770160933,0.815629054689844,0.894274024143001,0.0761014933905123,0.331886374584351,0.346743859009077,0.295025848653151,0.0263439177534212,0.9,0.3,0.0443991223997943
2,84.7645685831623,300,0.2618,0.957889445595186,0.815629054689844,0.894808654427432,0.0760831805731014,0.332074186901956,0.346522249293739,0.295058700062027,0.0263448637422774,0.9,0.3,0.0443991223997943
2.2,105.010516238176,300,0.2557,0.907445281574279,0.224727918801048,0.894137985242871,0.200683999187427,0.424773158483683,0.420151286527184,0.104050047005626,0.0510255079835075,0.9,1.68261699971638,0.20275051490542
2.4,101.773151698892,300,0.2661,0.918408866861699,0.224727918801048,0.895297545669144,0.191878157556355,0.423383311427635,0.423418710273061,0.103607455213537,0.0495905230857667,0.9,1.68261699971638,0.20275051490542
2.6,86.4994150025739,300,0.2632,0.894149199468587,0.224727918801048,0.893966286547237,0.210159048583839,0.426803365033311,0.416034565282707,0.104562618924054,0.0525994507599278,0.9,1.68261699971638,0.20275051490542
2.8,56.6853441937182,300,0.2568,0.879664888882233,0.224727918801048,0.893831596718375,0.212638051269571,0.429521541164232,0.411949080114663,0.10524059854635,0.0532887801747548,0.9,1.68261699971638,0.20275051490542
3,96.5206260827479,300,0.2792,0.958575654682826,0.224727918801048,0.889031874824052,0.169913135398566,0.415632507610684,0.436167763930289,0.10225491682093,0.0459448116380966,0.9,1.68261699971638,0.20275051490542
3.2,78.2899620564671,300,0.2615,0.878481100509219,0.224727918801048,0.889797122122967,0.218999060017662,0.428533976029583,0.411861927207755,0.105360119507564,0.0542439772550986,0.9,1.68261699971638,0.20275051490542
3.4,48.937462620581,300,0.2566,0.8905862176813,0.224727918801048,0.893766506573839,0.211099300119369,0.427414322567269,0.415040437475164,0.104730088878883,0.0528151510786838,0.9,1.68261699971638,0.20275051490542
3.6,108.156170169205,300,0.2431,0.899959596297171,0.224727918801048,0.893220705251875,0.20682120775424,0.425695438093604,0.41791602148172,0.10435734907169,0.0520311913529867,0.9,1.68261699971638,0.20275051490542
3.8,47.734919730315,300,0.2649,0.894574779663347,0.224727918801048,0.895359595556584,0.208069920835107,0.427133020781135,0.416061136301314,0.104519549824756,0.052286293092794,0.9,1.68261699971638,0.20275051490542
4,47.6293642674442,300,0.2986,0.869823206614314,0.224727918801048,0.893692090272524,0.214327461398915,0.431378351120078,0.40914965981365,0.105708091976498,0.053763897089774,0.9,1.68261699971638,0.20275051490542
4.2,99.2024435662959,300,0.2662,0.905027568367574,0.224727918801048,0.8930099880094,0.203480024049803,0.42484944218622,0.419509447851653,0.10416863356232,0.0514724763998071,0.9,1.68261699971638,0.20275051490542
4.4,69.7920833660851,300,0.2583,0.915069410910281,0.224727918801048,0.896127827518502,0.193407672999902,0.424118509609971,0.422313868779949,0.103714227227121,0.049853394382959,0.9,1.68261699971638,0.20275051490542
4.6,25.9372001216709,300,0.2836,0.849826145074982,0.224727918801048,0.894138324099435,0.21664536519695,0.435424077763722,0.403339345123253,0.106659005639476,0.0545775714735488,0.9,1.68261699971638,0.20275051490542
4.8,61.4560848274486,300,0.3009,0.898037611061823,0.224727918801048,0.889922728509172,0.211409289416015,0.425116405096744,0.417628190815516,0.104508667564211,0.0527467365235287,0.9,1.68261699971638,0.20275051490542
5,104.166803730902,300,0.261,0.95571858287126,0.224727918801048,0.890756922634762,0.170209897710576,0.416514343912563,0.435149405437294,0.102321145579953,0.0460151050701905,0.9,1.68261699971638,0.20275051490542
5.2,108.030199265035,300,0.2721,0.919843412131996,0.224727918801048,0.892529746330844,0.193579728339539,0.422429642035548,0.42412190447055,0.103617671934717,0.0498307815591847,0.9,1.68261699971638,0.20275051490542
5.4,72.1193170368507,300,0.2458,0.906450777616268,0.224727918801048,0.89609733768284,0.199470362806476,0.425447337765305,0.4196578533695,0.104041872239606,0.0508529366255883,0.9,1.68261699971638,0.20275051490542
