Feature,Mean,Std,Min,Max,MissingPct
GPSFix,2.63,0.778543931494127,1,3,0
NumSV,7.505,4.07714243708278,0,11,0
GPSInnovation,7.34693169758163,9.28324999114662,0.0716537524876982,25.8322216828478,0
GPSSpeedResidual,1.04710177639696,1.89095652133324,0,5,0
LidarValidRatio,0.79785,0.192290811744626,0.35,0.88,0
LidarInlierRatio,0.6901,0.210431454362043,0.2,0.78,0
LidarICPRMSE,0.3536,0.406350394630152,0.18,1.3,0
LidarStructure,0.7115,0.253968996643845,0.12,0.82,0
OdomCovXY,0.1137,0.0459769441892882,0.08,0.2,0
OdomYawVar,0.000910806085162259,0.000474316087204682,0.000685389194520094,0.00190385887366693,0
Dynamics,0.0433679769020176,0.02297064797463,0.00644686821938045,0.127066790088496,0
OpenSkyScore,0.716576376414844,0.359461534384372,0,0.997324981857803,0
