Time,ESS,Particles,Runtime_ms,rGNSS,rLiDAR,rOdom,Difficulty,lambdaMotion,lambdaGNSS,lambdaLiDAR,lambdaBroad,sigmaGNSS,sigmaLiDAR,sigmaLiDARYaw
0,49.687292967566,300,0.6933,0.568781793117523,0.610354781150818,0.375572800636292,0.513214409351349,0.27053474945923,0.299982853092879,0.321908983135595,0.107573414312297,2.18759313557551,0.559558491430068,0.0773036754677737
0.200000000000003,78.2340189950675,300,0.3243,0.571142613887787,0.606446504592896,0.370027303695679,0.504775524139404,0.269447812599806,0.302569178557445,0.321271808952706,0.106711199890043,2.171349260984,0.567210884367874,0.0781584559632687
0.400000000000002,90.1839386570827,300,0.2764,0.564731121063232,0.610779047012329,0.347074538469315,0.507483839988708,0.26263051121182,0.302241981558349,0.326886659116236,0.108240848113595,2.21567197576696,0.558732375611577,0.0772113974451467
0.600000000000001,86.4648634055698,300,0.4319,0.567519068717957,0.612008273601532,0.353939026594162,0.505644619464874,0.264248785944012,0.302307107978116,0.326005699983107,0.107438406094764,2.19631804738067,0.556343949384159,0.0769446076748464
0.800000000000001,90.0178692356188,300,0.351,0.561105668544769,0.610452115535736,0.346061199903488,0.50786817073822,0.262858489106948,0.301047230944452,0.327522834482919,0.10857144546568,2.24102587346827,0.559368885726459,0.0772824963073991
1,84.8664437065716,300,0.3137,0.556992590427399,0.608246207237244,0.352328807115555,0.510316133499146,0.265580571109551,0.298952074905643,0.326461193258482,0.109006160726324,2.27004451948981,0.563677585360012,0.0777637826759429
1.2,80.2713396270984,300,0.3077,0.564194440841675,0.609406888484955,0.359331846237183,0.507247626781464,0.266665414793652,0.300734575485481,0.324834327741773,0.107765681979094,2.2194118831464,0.561407446907511,0.0775102057769204
1.4,91.4878080910507,300,0.3017,0.565610408782959,0.611266553401947,0.365602076053619,0.512560963630676,0.26787869116876,0.299928915399963,0.32413921585462,0.108053177576657,2.20955453566166,0.557784231260003,0.0771054887045441
1.6,77.0835184672147,300,0.3092,0.571748614311218,0.60765153169632,0.39053475856781,0.516961872577667,0.274797293232419,0.299485030364542,0.318291173543753,0.107426502859286,2.16719399475489,0.56484330145061,0.0778939944130592
1.8,100.832523586814,300,0.3051,0.554949820041656,0.59807938337326,0.359523206949234,0.508725106716156,0.269616338460603,0.298991080005927,0.322228054332241,0.109164527201229,2.28455730144763,0.583850455174046,0.0800171138620618
2,91.3832842150248,300,0.2626,0.560697734355927,0.606090784072876,0.350075781345367,0.507689654827118,0.264778837098796,0.301101614839816,0.325478243698461,0.108641304362926,2.24389184480013,0.567911175980804,0.0782366792872349
2.2,88.421291453834,300,0.2837,0.561899542808533,0.604797184467316,0.350949436426163,0.524452984333038,0.264347172830961,0.300839281732043,0.323806546734828,0.111006998702168,2.23545608473098,0.570463163512402,0.0785217390305708
2.4,81.792885097906,300,0.2779,0.556166708469391,0.606281459331512,0.352411508560181,0.519250869750977,0.265621709251371,0.298516125482001,0.325414645348512,0.110447519918116,2.27590392536716,0.567535723165309,0.0781947408052107
2.6,88.4264246693544,300,0.2863,0.547686457633972,0.603957831859589,0.341903030872345,0.522494196891785,0.263774567198753,0.296836654277935,0.327334772724962,0.11205400579835,2.33670032486164,0.572123497363395,0.0787072001018164
2.8,107.346699116056,300,0.2761,0.545192301273346,0.604148149490356,0.34826472401619,0.522530496120453,0.266079029419372,0.295058020090627,0.326964919375606,0.111898031114395,2.35480034256828,0.571746718879773,0.0786651135412413
3,93.1748184236771,300,0.2785,0.579769253730774,0.610547244548798,0.41360542178154,0.529289662837982,0.27944989559244,0.298586078173104,0.314437004232507,0.107527022001949,2.11275104087993,0.559183621821335,0.0772618021305702
3.2,90.9524990020788,300,0.3126,0.568609476089478,0.604806959629059,0.409883916378021,0.531531393527985,0.280720679792045,0.29575253361204,0.314580038107457,0.108946748488458,2.18878227295836,0.570443847894071,0.0785195814552944
3.4,87.5897239901895,300,0.2556,0.544130682945251,0.598577380180359,0.361285775899887,0.51965606212616,0.271185037555888,0.294059875222215,0.32348403654419,0.111271050677707,2.3625346738557,0.58285029925716,0.0799053953738508
3.6,75.7570878420126,300,0.2476,0.548877477645874,0.604612052440643,0.355067133903503,0.522909820079803,0.2675649564595,0.295522043791888,0.325530189733428,0.111382810015184,2.32809224140119,0.570829072688001,0.0785626114777866
3.8,82.845210469777,300,0.2402,0.555066704750061,0.606636166572571,0.356496691703796,0.519357562065125,0.266977600046903,0.297530757663818,0.325173383166415,0.110318259122865,2.28372509777576,0.566837763621806,0.0781167779758997
4,81.6116542729632,300,0.2498,0.547702848911285,0.606621921062469,0.344500213861465,0.52274876832962,0.26418771211337,0.296078069166764,0.327928634038384,0.111805584681482,2.33658170306374,0.566865782471455,0.0781199077114453
4.2,88.0887040908411,300,0.2531,0.54885733127594,0.605439722537994,0.356788694858551,0.522777318954468,0.267983417646595,0.295175768805176,0.325605809345557,0.111235004202673,2.32823766034774,0.569194531377237,0.0783800314609373
4.4,80.4978833816981,300,0.2594,0.562278091907501,0.608114123344421,0.361796736717224,0.517512857913971,0.267434627863915,0.299426914988284,0.323835729213827,0.109302727933974,2.2328037505931,0.563936350805278,0.0777926870536088
4.6,95.429485847689,300,0.425,0.54651814699173,0.607653677463531,0.339800477027893,0.523208439350128,0.262728827190716,0.29602667315018,0.329141305841623,0.11210319381748,2.34516632806252,0.564839092019726,0.0778935242151164
4.8,81.1927410851311,300,0.3004,0.571308553218842,0.613092720508575,0.398192524909973,0.527805984020233,0.275870119044636,0.297040856895406,0.318765728309417,0.108323295750541,2.17021085234658,0.554243107308638,0.0767099413626398
5,96.0851995211368,300,0.2588,0.561380982398987,0.602545380592346,0.393173336982727,0.526947617530823,0.277389333544673,0.295668176004265,0.317348644192077,0.109593846258985,2.23909314081022,0.574925436221207,0.0790201796762702
5.2,84.9933841392626,300,0.2513,0.554303586483002,0.598114967346191,0.37325856089592,0.526206612586975,0.273130068337029,0.29619376216081,0.319604503205558,0.111071666296603,2.28916234417532,0.583778948677882,0.0800091265097762
5.4,91.9093558200889,300,0.2448,0.562479197978973,0.607092022895813,0.363578498363495,0.517977893352509,0.268073604204007,0.299421072670796,0.323169541839915,0.109335781285282,2.23139561760898,0.565941696180261,0.0780166862819805
5.6,85.6625215172092,300,0.2401,0.554567337036133,0.60912412405014,0.343255490064621,0.519713759422302,0.262600279475779,0.298580702833488,0.327954239143864,0.110864778546869,2.28728205788066,0.561959875998925,0.0775719126987058
5.8,95.5690922743973,300,0.2461,0.55825263261795,0.611400604248047,0.351756572723389,0.51757824420929,0.264468497981582,0.298643116284181,0.327075182600396,0.10981320313384,2.26112589271177,0.557523725946958,0.077076389981782
6,93.0719865400842,300,0.4538,0.553293466567993,0.607894361019135,0.353020846843719,0.521901488304138,0.265875366937692,0.296972331162609,0.32627857800716,0.110873723892538,2.29637381608673,0.564367080301482,0.0778408000001317
6.2,97.4102594765075,300,0.3309,0.581552028656006,0.613648653030396,0.424833685159683,0.531558573246002,0.281881091046005,0.297311131813661,0.313720125764213,0.107087651376121,2.10078963777523,0.553168408263069,0.0765898963270352
6.4,82.5875488855399,300,0.3082,0.542635202407837,0.596918404102325,0.364158183336258,0.518290877342224,0.272590814757179,0.293461588681563,0.322818391442054,0.111129205119204,2.37346046461216,0.58618693237854,0.0802781008708056
6.6,69.6535143145426,300,0.39,0.549955427646637,0.602953135967255,0.351511657238007,0.522319853305817,0.266578628368336,0.296666463125519,0.32525540304837,0.111499505457775,2.32032093683777,0.574115530595593,0.0789297123495669
6.8,88.6925579181791,300,0.298,0.558073461055756,0.602876842021942,0.355192005634308,0.519148468971252,0.266694139431719,0.299436660265148,0.323476102563161,0.110393097739972,2.26239252658591,0.574267006506164,0.0789466323711792
