Time,ESS,Particles,Runtime_ms,rGNSS,rLiDAR,rOdom,Difficulty,lambdaMotion,lambdaGNSS,lambdaLiDAR,lambdaBroad,sigmaGNSS,sigmaLiDAR,sigmaLiDARYaw
0,113.100059322502,150,25.2608,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.200000000000003,126.405169247281,150,9.084,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.400000000000002,126.856252620001,150,2.9771,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.600000000000001,127.774659388307,150,2.0671,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.800000000000001,132.859758921524,150,14.9958,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1,130.495817092887,150,1.3319,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.2,132.393429545989,150,0.1579,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.4,133.743359925132,150,0.122,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.6,132.228812514797,150,0.1121,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.8,132.054738538628,150,0.1071,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2,130.905915439198,150,0.1071,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.2,130.313487478775,150,0.2464,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.4,131.08195629834,150,0.2038,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.6,134.430643978139,150,0.151,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.8,133.208479970213,150,0.117,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3,134.668366854322,150,0.1542,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.2,132.800666971481,150,0.1148,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.4,135.58413606495,150,0.1504,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.6,135.17168594122,150,0.2117,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.8,134.510094331079,150,0.1242,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4,132.732880256614,150,0.1123,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.2,134.915637746467,150,0.1384,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.4,134.73205738227,150,0.2176,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.6,131.353258248573,150,0.196,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.8,134.614899593469,150,0.2361,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5,134.888254088799,150,0.188,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.2,133.796275134882,150,0.1279,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.4,133.269157403013,150,0.1882,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.6,134.836568348189,150,0.1848,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.8,134.81700343457,150,0.1724,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6,134.835011860888,150,0.1205,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.2,131.97670768715,150,0.1536,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.4,133.956372998667,150,0.2031,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.6,131.275509668768,150,0.1498,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.8,133.160227533405,150,0.2265,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7,133.148709443332,150,0.1741,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.2,132.967266906583,150,0.1105,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.4,135.531783654206,150,0.1037,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.6,134.397331921141,150,0.101,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.8,132.386129599188,150,0.1013,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8,129.798677590663,150,0.1,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.2,129.425569193713,150,0.0994,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.4,132.837110217603,150,0.0981,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.6,132.027377747622,150,0.0984,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.8,130.431613976874,150,0.0982,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9,133.735506915968,150,0.1748,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.2,135.64322589465,150,0.2143,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.4,134.735336805905,150,0.1226,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.6,133.047737938075,150,0.1763,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.8,136.424792170936,150,0.129,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10,136.161908689321,150,0.1086,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.2,132.372091776062,150,0.1038,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.4,133.855170159016,150,0.1017,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.6,132.901555816074,150,0.1483,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
