Source,Destination,Relation,MeanAttention
LidarICPRMSE,GPSFix,untyped,0.185044163258539
LidarICPRMSE,GPSSpeedResidual,untyped,0.182582802904977
LidarICPRMSE,OdomReliability,untyped,0.182209373886387
LidarICPRMSE,LidarValidRatio,untyped,0.178404638543725
LidarICPRMSE,OdomYawVar,untyped,0.177927349218064
LidarICPRMSE,OdomCovXY,untyped,0.176806705155306
LidarICPRMSE,LiDARReliability,untyped,0.176523236392273
LidarICPRMSE,NumSV,untyped,0.175199862486786
LidarICPRMSE,GNSSReliability,untyped,0.175183723246058
LidarICPRMSE,LidarStructure,untyped,0.174985523025195
LidarICPRMSE,OpenSkyScore,untyped,0.174727089827259
LidarICPRMSE,LocalizationDifficulty,untyped,0.174702124835716
LidarICPRMSE,Dynamics,untyped,0.170996277324027
LidarICPRMSE,LidarInlierRatio,untyped,0.166547739133239
LidarICPRMSE,GPSInnovation,untyped,0.155208484331767
OdomReliability,GPSFix,untyped,0.0919222437673145
OdomReliability,GPSSpeedResidual,untyped,0.0907021277480655
OdomReliability,OdomReliability,untyped,0.0905223096410433
OdomReliability,LidarValidRatio,untyped,0.0886644134091006
OdomReliability,OdomYawVar,untyped,0.0884095507363478
OdomReliability,OdomCovXY,untyped,0.0878595367074013
OdomReliability,LiDARReliability,untyped,0.0877066623833444
OdomReliability,NumSV,untyped,0.0870480535758866
OdomReliability,GNSSReliability,untyped,0.0870400023129251
OdomReliability,LidarStructure,untyped,0.0869537242584758
OdomReliability,OpenSkyScore,untyped,0.0868081476125452
OdomReliability,LocalizationDifficulty,untyped,0.0867996480729845
OdomReliability,Dynamics,untyped,0.084825940678517
OdomReliability,LidarInlierRatio,untyped,0.0829507358372212
LidarICPRMSE,LidarICPRMSE,untyped,0.0821009546518326
LocalizationDifficulty,GPSFix,untyped,0.0796924446192053
GNSSReliability,GPSFix,untyped,0.07898755810327
LocalizationDifficulty,GPSSpeedResidual,untyped,0.0786346635884709
LocalizationDifficulty,OdomReliability,untyped,0.0784787693785297
LiDARReliability,GPSFix,untyped,0.07815305598908
GNSSReliability,GPSSpeedResidual,untyped,0.0779391335944335
GNSSReliability,OdomReliability,untyped,0.077784618238608
OdomReliability,GPSInnovation,untyped,0.0773377761244774
LiDARReliability,GPSSpeedResidual,untyped,0.0771157128115495
LiDARReliability,OdomReliability,untyped,0.0769628298779329
LocalizationDifficulty,LidarValidRatio,untyped,0.0768680561747816
LocalizationDifficulty,OdomYawVar,untyped,0.076647102418873
GNSSReliability,LidarValidRatio,untyped,0.0761881524489986
LocalizationDifficulty,OdomCovXY,untyped,0.0761702648467488
LocalizationDifficulty,LiDARReliability,untyped,0.0760377251439624
GNSSReliability,OdomYawVar,untyped,0.0759691524836752
GNSSReliability,OdomCovXY,untyped,0.075496533099148
LocalizationDifficulty,NumSV,untyped,0.0754667452640004
LocalizationDifficulty,GNSSReliability,untyped,0.0754597610069646
LocalizationDifficulty,LidarStructure,untyped,0.0753849656217628
LiDARReliability,LidarValidRatio,untyped,0.0753832305471102
GNSSReliability,LiDARReliability,untyped,0.0753651653726896
LocalizationDifficulty,OpenSkyScore,untyped,0.0752587570912308
LocalizationDifficulty,LocalizationDifficulty,untyped,0.0752513895432154
LiDARReliability,OdomYawVar,untyped,0.0751665439870622
GNSSReliability,NumSV,untyped,0.0747992360757457
GNSSReliability,GNSSReliability,untyped,0.0747923139896658
GNSSReliability,LidarStructure,untyped,0.0747181801332368
LiDARReliability,OdomCovXY,untyped,0.0746989179816511
GNSSReliability,OpenSkyScore,untyped,0.0745930873685413
GNSSReliability,LocalizationDifficulty,untyped,0.0745857848889298
LiDARReliability,LiDARReliability,untyped,0.0745689428514904
