Source,Destination,Relation,MeanAttention
GPSFix,GPSFix,self,1
NumSV,NumSV,self,1
GPSInnovation,GPSInnovation,self,1
GPSSpeedResidual,GPSSpeedResidual,self,1
LidarValidRatio,LidarValidRatio,self,1
LidarInlierRatio,LidarInlierRatio,self,1
LidarICPRMSE,LidarICPRMSE,self,1
LidarStructure,LidarStructure,self,1
OdomCovXY,OdomCovXY,self,1
OdomYawVar,OdomYawVar,self,1
Dynamics,Dynamics,self,1
OpenSkyScore,OpenSkyScore,self,1
Dynamics,OdomReliability,contextSupports,0.279666112363338
OdomReliability,OdomReliability,self,0.267040268745687
OdomYawVar,OdomReliability,degrades,0.236289470394452
LidarInlierRatio,LiDARReliability,indicates,0.223166273037593
OdomCovXY,OdomReliability,degrades,0.217004149489933
NumSV,GNSSReliability,indicates,0.208895996378528
LidarValidRatio,LiDARReliability,indicates,0.191212628947364
LocalizationDifficulty,LocalizationDifficulty,self,0.176633228196038
GNSSReliability,GNSSReliability,self,0.174663020173709
OpenSkyScore,GNSSReliability,contextSupports,0.169125812086794
GPSFix,GNSSReliability,indicates,0.166429059373008
GPSSpeedResidual,GNSSReliability,degrades,0.165434396101369
GNSSReliability,LocalizationDifficulty,supports,0.142982224871715
OdomReliability,LocalizationDifficulty,supports,0.141388989322715
Dynamics,LocalizationDifficulty,degrades,0.141363319092327
LiDARReliability,LocalizationDifficulty,supports,0.139543570081393
GPSInnovation,LocalizationDifficulty,degrades,0.136374842292733
LidarStructure,LiDARReliability,indicates,0.135784897539351
LidarStructure,LiDARReliability,contextSupports,0.125279936028851
Dynamics,LiDARReliability,contextSupports,0.122290176401536
LidarICPRMSE,LocalizationDifficulty,degrades,0.121713815629482
GPSInnovation,GNSSReliability,degrades,0.115451701978842
LiDARReliability,LiDARReliability,self,0.110928271793657
LidarICPRMSE,LiDARReliability,degrades,0.091337819563018
