Time,ESS,Particles,Runtime_ms,rGNSS,rLiDAR,rOdom,Difficulty,lambdaMotion,lambdaGNSS,lambdaLiDAR,lambdaBroad,sigmaGNSS,sigmaLiDAR,sigmaLiDARYaw
0,819.386715500224,850,7.9628,1,0,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.200000047683716,815.270139093574,1101,3.9351,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.400000095367432,1113.19433437671,1370,0.9642,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.599999904632568,908.088851017671,1084,0.5163,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
0.799999952316284,921.602214972737,1053,1.3998,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1,882.485831616217,1006,0.7078,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.20000004768372,876.468459608144,1003,0.4602,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.40000009536743,876.983455271936,1008,0.6176,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.59999990463257,884.836393203561,1012,0.4086,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
1.79999995231628,872.283267381625,1007,0.3834,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2,892.700294760244,1017,1.1332,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.20000004768372,875.459005385114,1003,0.8435,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.40000009536743,876.910213859672,1009,0.7751,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.59999990463257,895.858730092704,1014,0.816,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
2.79999995231628,869.887709888804,996,0.9772,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3,883.259808140173,1008,0.9639,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.20000004768372,886.950204849137,1005,0.9326,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.40000009536743,875.368674051271,997,0.8794,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.59999990463257,884.704308236845,1002,0.5566,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
3.79999995231628,859.104128072999,996,0.9072,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4,906.988667556483,1022,1.6692,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.20000004768372,874.694365175497,991,1.61,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.40000009536743,879.679101119831,997,0.9258,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.59999990463257,891.929196907119,997,0.8073,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
4.79999995231628,857.724483749698,982,0.5923,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5,888.250827970699,1008,0.8613,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.20000004768372,867.797603230601,998,0.8121,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.40000009536743,887.659129123981,1013,0.905,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.59999990463257,885.692617066905,1005,0.5133,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
5.79999995231628,874.393891467744,998,0.6987,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6,894.252668284715,1005,1.0892,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.20000004768372,878.90007703351,988,0.8465,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.40000009536743,866.605682446797,988,0.6241,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.59999990463257,886.31619474135,1004,0.5898,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
6.79999995231628,878.113371441564,997,0.6494,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7,888.358332232385,999,0.4972,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.20000004768372,870.820280210953,988,0.5209,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.40000009536743,882.517798365175,998,0.5236,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.59999990463257,875.399763303571,995,0.5076,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
7.79999995231628,887.061468119108,1000,0.4574,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8,875.127648017813,991,0.6839,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.20000004768372,885.277900407527,996,0.5669,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.40000009536743,867.729582525527,989,0.5232,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.59999990463257,893.177551173735,1003,0.484,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
8.79999995231628,872.684729806018,987,0.4953,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9,878.900483235215,995,0.5441,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.20000004768372,884.420496030764,996,0.5927,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.40000009536743,875.249651286048,990,0.5342,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.59999990463257,875.924589648484,995,0.5376,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
9.79999995231628,879.818759111875,1000,0.668,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10,878.072479555328,1000,1.1845,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.2000000476837,891.218264592631,1002,0.8784,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.4000000953674,871.631466227056,988,0.7762,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.5999999046326,888.137357397867,997,0.7201,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
10.7999999523163,874.468489723805,986,0.4955,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
11,871.838514828693,991,0.473,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
11.2000000476837,875.778924965733,1000,0.407,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
11.4000000953674,865.635352294527,1005,0.4099,1,0.75,0.8,0.45,1,0,0,0,4.5,1.4,0.139626340159546
