Source,Destination,Relation,MeanAttention
GPSFix,GPSFix,self,1
NumSV,NumSV,self,1
GPSInnovation,GPSInnovation,self,1
GPSSpeedResidual,GPSSpeedResidual,self,1
LidarValidRatio,LidarValidRatio,self,1
LidarInlierRatio,LidarInlierRatio,self,1
LidarICPRMSE,LidarICPRMSE,self,1
LidarStructure,LidarStructure,self,1
OdomCovXY,OdomCovXY,self,1
OdomYawVar,OdomYawVar,self,1
Dynamics,Dynamics,self,1
OpenSkyScore,OpenSkyScore,self,1
OdomReliability,OdomReliability,self,0.298780421209004
OdomCovXY,OdomReliability,degrades,0.269493087712261
OdomYawVar,OdomReliability,degrades,0.245671828380889
GPSInnovation,GNSSReliability,degrades,0.210095829433865
GNSSReliability,GNSSReliability,self,0.198837277375989
Dynamics,OdomReliability,contextSupports,0.186054677392046
LidarStructure,LiDARReliability,contextSupports,0.169697085395455
GPSSpeedResidual,GNSSReliability,degrades,0.160757314827707
LiDARReliability,LiDARReliability,self,0.159648108192616
GPSInnovation,LocalizationDifficulty,degrades,0.155622356053856
OpenSkyScore,GNSSReliability,contextSupports,0.149608910083771
GPSFix,GNSSReliability,indicates,0.145415962570243
OdomReliability,LocalizationDifficulty,supports,0.144482035603788
LidarInlierRatio,LiDARReliability,indicates,0.143531769514084
GNSSReliability,LocalizationDifficulty,supports,0.141125749796629
LocalizationDifficulty,LocalizationDifficulty,self,0.140934952224294
LiDARReliability,LocalizationDifficulty,supports,0.139819560572505
LidarICPRMSE,LocalizationDifficulty,degrades,0.139690157233013
Dynamics,LocalizationDifficulty,degrades,0.138325186342829
LidarStructure,LiDARReliability,indicates,0.137505250155098
NumSV,GNSSReliability,indicates,0.135284703017937
LidarValidRatio,LiDARReliability,indicates,0.130181731863154
LidarICPRMSE,LiDARReliability,degrades,0.130054489916397
Dynamics,LiDARReliability,contextSupports,0.129381554925607
