Model,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1,AUROC,AUPRC,Brier,NLL,ECE,MeanUncertainty,MeanUncertaintyCorrect,MeanUncertaintyIncorrect
Transformer,303,414,575,218,0.474834437086093,0.345102505694761,0.581573896353167,0.418604651162791,0.433166547533953,0.495733296588772,0.367042962820028,0.468188595849596,2.5967233064862,0.463636434135595,NaN,NaN,NaN
TransEDL-Hard,198,613,376,323,0.537086092715232,0.344947735191638,0.380038387715931,0.619817997977755,0.361643835616438,0.485309614977808,0.379883942429401,0.250477933255346,0.6942615533751,0.122531959138169,0.788316038704866,0.782101991144267,0.795525756260868
TransEDL-Soft,520,7,982,1,0.349006622516556,0.346205059920107,0.998080614203455,0.0070778564206269,0.514087988136431,0.508716806173086,0.321086211345327,0.288194364233464,0.770978478255629,0.252336605771488,0.804920609818389,0.799623118292901,0.80776066885596
SoftLabel,503,48,941,18,0.364900662251656,0.348337950138504,0.965451055662188,0.0485338725985844,0.511959287531807,0.480993422852918,0.310167075549926,0.551769234778341,2.61013355348844,0.560385005916191,NaN,NaN,NaN
Transformer-DualEDL,316,439,550,205,0.5,0.364896073903002,0.606525911708253,0.443882709807887,0.455659697188176,0.530839231547017,0.357145351380989,0.252147969620681,0.697462903327857,0.162788541545931,0.899920047908429,0.899838958828655,0.900001136988204
R-GAT-DualEDL,414,351,638,107,0.506622516556291,0.393536121673004,0.794625719769674,0.354903943377149,0.52638270820089,0.586227776171282,0.399625603689657,0.250395100667838,0.693971529777337,0.165014120975867,0.914836578574402,0.907491341915006,0.922379002795123
R-GAT+Transformer-DualEDL,228,647,342,293,0.579470198675497,0.4,0.437619961612284,0.654196157735086,0.417965169569203,0.594889271429098,0.383651372024968,0.249988532194234,0.693147034862666,0.161122571198356,0.894374443482089,0.894213811193194,0.894595787187261
TemporalR-GAT-DualEDL,313,543,446,208,0.566887417218543,0.412384716732543,0.600767754318618,0.549039433771486,0.4890625,0.595516128468819,0.46554697688448,0.245472132043079,0.684056897790263,0.152709738525334,0.900408755272429,0.894620476551702,0.90798485096806
TemporalR-GAT-NoTimeEncoding,344,224,765,177,0.376158940397351,0.310189359783589,0.660268714011516,0.226491405460061,0.422085889570552,0.47376612992437,0.426700675969722,0.25610116820221,0.705345030582557,0.171056233257647,0.897775998020804,0.902238374129987,0.895085308392336
TemporalR-GAT-NoRelationType,253,310,679,268,0.372847682119205,0.271459227467811,0.485604606525912,0.313447927199191,0.348245010323469,0.354729277328929,0.275939293510832,0.261649805591302,0.71659763887669,0.160685717842437,0.910009278051111,0.920651813383424,0.903682195271711
TemporalR-GAT-1Head,334,380,609,187,0.472847682119205,0.354188759278897,0.641074856046065,0.38422649140546,0.456284153005464,0.542877603737077,0.351216831491412,0.243847876887734,0.68032421308685,0.137741331568617,0.869392693121702,0.832096572767119,0.902846750826692
TemporalR-GAT-1Layer,345,482,507,176,0.547682119205298,0.404929577464789,0.662188099808061,0.487360970677452,0.502549162418063,0.588847766894574,0.482432274374771,0.243220099508435,0.679273449062074,0.138946047267377,0.882390063922137,0.87167899308787,0.895359398592618
