Model,TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1,AUROC,AUPRC,Brier,NLL,ECE,MeanUncertainty,MeanUncertaintyCorrect,MeanUncertaintyIncorrect,Threshold
Transformer,341,255,333,87,0.586614173228346,0.50593471810089,0.796728971962617,0.433673469387755,0.618874773139746,0.609797189903999,0.485294565220641,0.404926335230888,2.36431768905614,0.395711352084847,NaN,NaN,NaN,0.84
TransEDL-Hard,207,499,89,221,0.69488188976378,0.699324324324324,0.483644859813084,0.848639455782313,0.57182320441989,0.759747123148325,0.747829129939268,0.291357908414867,0.863571416276842,0.250994578663876,0.2277953452394,0.224462432770992,0.235385784602934,0.91301441192627
TransEDL-Soft,175,446,142,253,0.611220472440945,0.55205047318612,0.408878504672897,0.758503401360544,0.469798657718121,0.632851738826372,0.50837144990238,0.277371688713969,0.779013843156795,0.21586909244849,0.37483816281489,0.39402399479671,0.344675120635878,0.76
SoftLabel,428,588,0,0,1,1,1,1,1,1,1,0.0648135035163991,0.248731124969311,0.205037811785702,NaN,NaN,NaN,0.5
Transformer-DualEDL,264,409,179,164,0.66240157480315,0.595936794582393,0.616822429906542,0.695578231292517,0.606199770378875,0.680053563481467,0.486404138153018,0.257349778252541,0.762979093432178,0.231292475388921,0.188466210636919,0.188136287642446,0.189113552255811,0.87598842382431
R-GAT-DualEDL,303,352,236,125,0.644685039370079,0.562152133580705,0.707943925233645,0.598639455782313,0.626680455015512,0.758050416428254,0.705537733268318,0.249063037190801,0.75758747781615,0.234567054430038,0.286803556415509,0.294781317942925,0.272328670541666,0.76
R-GAT+Transformer-DualEDL,199,525,63,229,0.71259842519685,0.759541984732824,0.464953271028037,0.892857142857143,0.576811594202899,0.792747472820904,0.753175429658394,0.266237809298119,0.791214933045995,0.257076771108536,0.224525593301853,0.22900351979744,0.213422789251151,0.914403200149536
TemporalR-GAT-DualEDL,381,309,279,47,0.679133858267717,0.577272727272727,0.89018691588785,0.525510204081633,0.700367647058823,0.792818996757582,0.683484288457918,0.272134452419886,0.881294122565344,0.279269568882443,0.153706319498148,0.155190603715786,0.150564736338115,0.84
TemporalR-GAT-NoTimeEncoding,342,333,255,86,0.664370078740158,0.57286432160804,0.799065420560748,0.566326530612245,0.667317073170732,0.76278291690508,0.727803604550877,0.281162856318914,0.842265470008573,0.280296723900994,0.261485264724575,0.268041881996172,0.248506623497806,0.81
TemporalR-GAT-NoRelationType,377,284,304,51,0.650590551181102,0.55359765051395,0.880841121495327,0.482993197278912,0.679891794409378,0.781752654332761,0.682160405308034,0.308081603130056,0.950633149148779,0.319410494895373,0.193436193499919,0.2062749694272,0.169530754378984,0.824557662010193
TemporalR-GAT-1Head,316,354,234,112,0.659448818897638,0.574545454545455,0.738317757009346,0.602040816326531,0.646216768916155,0.716725475236824,0.648169657646382,0.287520403287932,0.851989919681113,0.272885008715093,0.276011611914306,0.287834542322515,0.253117498118064,0.793708443641663
TemporalR-GAT-1Layer,336,343,245,92,0.668307086614173,0.578313253012048,0.785046728971963,0.583333333333333,0.666005946481665,0.741615805200585,0.645455726576031,0.248628591765283,0.708817238879172,0.224880470564281,0.282843661971214,0.283813377016598,0.280889844416865,0.667460501194
