Episode,Iteration,Return,Success,Steps,ActorLoss,CriticLoss,PolicyStd,Status
1,1,-10.0894650777854,0,93,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
2,1,-9.50857506559965,0,86,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
3,1,-8.5999607498544,0,86,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
4,1,-8.6146452796252,0,88,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
5,1,-7.42189545435924,0,85,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
6,1,-9.79979543425575,0,91,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
7,1,-9.75306864108128,0,86,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
8,1,-8.82001472811848,0,89,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
9,1,-9.03501072797974,0,88,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
10,1,-10.4647972654409,0,91,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
11,1,-9.14286423413677,0,87,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
12,1,-9.60645902024414,0,90,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
13,1,-8.17805136859242,0,90,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
14,1,-9.12191760427072,0,95,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
15,1,-9.63966313729092,0,96,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
16,1,-9.68546705765248,0,96,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
17,1,-9.29304543234737,0,95,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
18,1,-7.97196776288254,0,100,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
19,1,-9.84232872446357,0,95,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
20,1,-9.53841727681102,0,94,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
21,1,-8.85247784216583,0,94,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
22,1,-9.75051473547834,0,80,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
23,1,-9.20709014375847,0,82,-0.0144349742209072,1.42458723662519,0.577258734903789,unsafe_touchdown
24,2,-11.1373321491353,0,83,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
25,2,-8.83825658791003,0,84,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
26,2,-9.51246529712967,0,96,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
27,2,-9.8057377780657,0,99,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
28,2,-10.0611678525779,0,82,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
29,2,-6.82142580329609,0,81,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
30,2,-9.11044581053773,0,106,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
31,2,-8.82475949166236,0,80,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
32,2,-8.8607677822804,0,92,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
33,2,-8.3428225524557,0,108,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
34,2,-10.1906056939485,0,85,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
35,2,-9.30728705549398,0,84,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
36,2,-10.0078079359064,0,96,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
37,2,-9.60118875863176,0,84,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
38,2,-8.26752827597097,0,88,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
39,2,-9.70970346746262,0,89,-0.0416637023411184,0.448402848034849,0.575037572532042,unsafe_touchdown
