epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40849,3.33481,14.0246,0.01963,0.00287,0.15385,0.00178,0.00058,3.50025,15.7692,0.02145,0.000583333,0.000583333,0.000583333
2,2.51679,3.17044,14.7455,0.01835,0.00089,0.15385,0.00039,0.00013,3.51787,18.7208,0.01996,0.00120875,0.00120875,0.00120875
3,3.60419,3.214,14.3815,0.02036,0.00067,0.11538,0.00012,4e-05,3.42524,20.3456,0.01867,0.00179017,0.00179017,0.00179017
4,4.6907,3.25596,15.335,0.02016,0.00022,0.03846,1e-05,1e-05,3.28618,21.4353,0.01977,0.001802,0.001802,0.001802
5,5.80863,3.1297,11.2494,0.02,0.00156,0.26923,0.00053,0.00015,2.74407,16.2694,0.0172,0.001736,0.001736,0.001736
6,7.03925,2.54468,6.42548,0.01464,0.00244,0.42308,0.00256,0.00072,2.5006,22.9099,0.01538,0.00167,0.00167,0.00167
7,8.31529,2.3957,5.2535,0.01384,0.00222,0.38462,0.004,0.00103,2.50083,12.0167,0.01447,0.001604,0.001604,0.001604
8,9.59751,2.21662,4.47637,0.01126,0.28548,0.15368,0.11545,0.02219,2.70297,7.3419,0.01532,0.001538,0.001538,0.001538
9,10.8867,2.28495,3.75844,0.01011,0.21486,0.27377,0.17941,0.05032,2.38547,7.60725,0.01371,0.001472,0.001472,0.001472
10,12.1712,2.11651,3.66233,0.01082,0.04507,0.03846,0.0146,0.00334,2.70654,9.13062,0.01513,0.001406,0.001406,0.001406
11,13.4076,2.00214,3.89958,0.01043,0.04806,0.11538,0.01746,0.00631,2.33503,45.8966,0.0137,0.00134,0.00134,0.00134
12,14.6372,2.07713,3.16196,0.00956,0.0185,0.34615,0.01162,0.00358,2.10531,41.9259,0.01192,0.001274,0.001274,0.001274
13,15.8701,1.99408,2.95268,0.00978,0.02916,0.38462,0.0217,0.00596,2.02062,13.6485,0.01085,0.001208,0.001208,0.001208
14,17.0998,1.92873,2.7615,0.00934,0.03218,0.5,0.02802,0.0106,1.9634,20.585,0.0105,0.001142,0.001142,0.001142
15,18.3364,1.83358,2.74461,0.00946,0.08459,0.53846,0.07796,0.03543,1.7097,7.58512,0.00918,0.001076,0.001076,0.001076
16,19.5695,1.90379,2.4867,0.00912,0.17209,0.30769,0.1274,0.05424,1.80137,4.39262,0.00949,0.00101,0.00101,0.00101
17,20.8439,2.00339,2.55678,0.00984,0.34312,0.30769,0.19837,0.07388,1.84578,3.92299,0.00965,0.000944,0.000944,0.000944
18,22.3515,1.83525,2.29636,0.00893,0.3603,0.34615,0.27975,0.10357,1.8454,3.30661,0.00948,0.000878,0.000878,0.000878
19,23.8615,1.88149,2.29679,0.00906,0.29376,0.42308,0.36574,0.14718,1.7204,2.90548,0.00899,0.000812,0.000812,0.000812
20,25.1535,1.80292,2.18555,0.00891,0.33113,0.46154,0.41769,0.18369,1.49483,2.65591,0.00777,0.000746,0.000746,0.000746
21,27.3159,1.71306,2.19794,0.00919,0.30779,0.53846,0.40298,0.19077,1.38474,2.53777,0.00709,0.00068,0.00068,0.00068
22,28.6029,1.59407,2.05419,0.00803,0.28591,0.5,0.4007,0.18338,1.43658,2.32647,0.00724,0.000614,0.000614,0.000614
23,29.8414,1.66431,2.02471,0.00821,0.34467,0.42308,0.43648,0.18924,1.3881,2.33027,0.00681,0.000548,0.000548,0.000548
24,31.1487,1.64804,2.16678,0.00935,0.42627,0.42308,0.49046,0.21398,1.56664,2.18787,0.00773,0.000482,0.000482,0.000482
25,32.4168,1.57631,1.93928,0.00833,0.44286,0.42308,0.5014,0.2101,1.46027,2.24629,0.00726,0.000416,0.000416,0.000416
26,33.6432,1.59158,1.94493,0.00875,0.46183,0.5,0.5119,0.2074,1.4653,2.12076,0.0072,0.00035,0.00035,0.00035
27,34.873,1.57418,1.99752,0.00786,0.45853,0.46154,0.50015,0.21146,1.4607,2.07206,0.00722,0.000284,0.000284,0.000284
28,36.0982,1.67879,2.01258,0.0092,0.3987,0.46154,0.49336,0.23006,1.57449,1.92735,0.00834,0.000218,0.000218,0.000218
29,37.3733,1.69772,1.93187,0.00966,0.37603,0.5,0.50363,0.2457,1.54793,1.89187,0.00824,0.000152,0.000152,0.000152
30,38.6538,1.63273,2.01108,0.00896,0.39237,0.5,0.49825,0.24502,1.56263,1.88088,0.00826,8.6e-05,8.6e-05,8.6e-05
