epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.10412,1.49237,0.83865,0.0057,0.92141,0.78824,0.84908,0.52188,1.35393,0.66055,0.0066,0.00065641,0.00065641,0.00065641
2,15.9148,1.5278,0.93818,0.00573,0.88161,0.76656,0.8306,0.44382,1.61526,0.88423,0.00858,0.00127942,0.00127942,0.00127942
3,23.7533,1.63189,1.01898,0.00648,0.90019,0.77059,0.81207,0.41948,1.68956,0.90087,0.00872,0.00185842,0.00185842,0.00185842
4,31.5108,1.62894,1.0083,0.00627,0.91239,0.79118,0.84463,0.50874,1.50714,0.71026,0.00772,0.001802,0.001802,0.001802
5,39.2517,1.59846,0.96365,0.00645,0.88302,0.77647,0.8146,0.4999,1.40465,0.88359,0.007,0.001736,0.001736,0.001736
6,47.0756,1.55197,0.94051,0.00584,0.94951,0.77647,0.83957,0.49902,1.44143,0.70715,0.00724,0.00167,0.00167,0.00167
7,54.8219,1.65693,1.05757,0.00625,0.93152,0.77647,0.83539,0.52228,1.36091,0.73602,0.00698,0.001604,0.001604,0.001604
8,62.6176,1.61244,0.96137,0.00626,0.93991,0.78209,0.84066,0.50432,1.503,0.70512,0.00784,0.001538,0.001538,0.001538
9,70.4163,1.5799,0.9339,0.00593,0.91055,0.79118,0.84514,0.52042,1.43694,0.70144,0.00691,0.001472,0.001472,0.001472
10,78.1575,1.558,0.94618,0.00607,0.93272,0.77647,0.84414,0.53352,1.39926,0.70998,0.00674,0.001406,0.001406,0.001406
11,86.0918,1.57281,0.95326,0.00606,0.91629,0.77267,0.84439,0.51584,1.42581,0.69479,0.00705,0.00134,0.00134,0.00134
12,93.8512,1.56822,0.91716,0.00587,0.93594,0.8,0.8477,0.5136,1.38061,0.67114,0.00669,0.001274,0.001274,0.001274
13,101.581,1.49773,0.86261,0.00591,0.92028,0.78094,0.8333,0.52172,1.41095,0.67714,0.00711,0.001208,0.001208,0.001208
14,109.325,1.44977,0.85653,0.00543,0.92382,0.79706,0.83784,0.52589,1.38039,0.68743,0.00681,0.001142,0.001142,0.001142
15,117.194,1.50576,0.93276,0.00557,0.9497,0.77741,0.85852,0.53444,1.32546,0.66292,0.00663,0.001076,0.001076,0.001076
16,125.047,1.49425,0.8861,0.00579,0.96252,0.76765,0.8605,0.54528,1.35451,0.60743,0.0066,0.00101,0.00101,0.00101
17,132.845,1.46925,0.87458,0.00559,0.95271,0.80294,0.85253,0.50986,1.45828,0.62251,0.00744,0.000944,0.000944,0.000944
18,140.583,1.49559,0.89021,0.00573,0.95853,0.8,0.85502,0.55194,1.31162,0.60695,0.00644,0.000878,0.000878,0.000878
19,148.515,1.4595,0.88718,0.00547,0.94146,0.8,0.86646,0.56017,1.29017,0.59043,0.00627,0.000812,0.000812,0.000812
20,156.328,1.50873,0.87209,0.00557,0.93369,0.79412,0.86383,0.5257,1.39901,0.58472,0.00705,0.000746,0.000746,0.000746
21,164.584,1.37293,0.7063,0.00546,0.9438,0.79032,0.86803,0.54804,1.3193,0.58979,0.00647,0.00068,0.00068,0.00068
22,172.319,1.44025,0.68338,0.00604,0.9666,0.78529,0.86773,0.53651,1.34383,0.59537,0.00649,0.000614,0.000614,0.000614
23,180.133,1.35473,0.70237,0.00557,0.95011,0.79412,0.86951,0.55081,1.28652,0.56735,0.00646,0.000548,0.000548,0.000548
24,187.84,1.30494,0.64353,0.00506,0.94537,0.78824,0.86495,0.55406,1.28772,0.59358,0.00625,0.000482,0.000482,0.000482
25,195.561,1.3201,0.6711,0.0053,0.96043,0.78517,0.87059,0.56665,1.25951,0.55403,0.00603,0.000416,0.000416,0.000416
26,203.332,1.30681,0.66419,0.00527,0.93201,0.8063,0.87222,0.56366,1.26219,0.56149,0.00605,0.00035,0.00035,0.00035
27,211.133,1.27562,0.66363,0.00518,0.93582,0.79706,0.87389,0.56262,1.25826,0.57057,0.00616,0.000284,0.000284,0.000284
28,218.863,1.28456,0.65292,0.00515,0.94071,0.79706,0.87452,0.56346,1.27395,0.56241,0.00614,0.000218,0.000218,0.000218
29,226.573,1.27367,0.64534,0.00504,0.94436,0.79874,0.87403,0.56737,1.25345,0.60227,0.00605,0.000152,0.000152,0.000152
30,234.326,1.27217,0.65011,0.00517,0.96857,0.78824,0.87349,0.56682,1.2439,0.61916,0.00604,8.6e-05,8.6e-05,8.6e-05
