frame_id,selected_reference_keyframe,translation_error,rotation_error,is_correct_place_match
r00_road_normal,kf_road,1.0,0.0,True
r00_road_bright,kf_road,1.0,0.0,True
r00_road_dark,kf_road,1.0,0.0,True
r00_road_blur,kf_road,1.0,0.0,True
r00_road_yaw,kf_road,1.0,0.0,True
r00_grass_normal,kf_grass,1.0,0.0,True
r00_grass_bright,kf_grass,1.0,0.0,True
r00_grass_dark,,,180.0,False
r00_grass_blur,,,180.0,False
r00_grass_yaw,,,180.0,False
r00_urban_building_normal,kf_urban_building,1.0,0.0,True
r00_urban_building_bright,kf_urban_building,1.0,0.0,True
r00_urban_building_dark,kf_urban_building,1.0,0.0,True
r00_urban_building_blur,kf_urban_building,1.0,0.0,True
r00_urban_building_yaw,kf_urban_building,1.0,0.0,True
r00_water_normal,,,180.0,False
r00_water_bright,,,180.0,False
r00_water_dark,,,180.0,False
r00_water_blur,,,180.0,False
r00_water_yaw,,,180.0,False
