epoch,trajectory_index,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg
Year0,0,-18.0,-14.0,30.0,0.0,0.0,0.0
Year0,1,0.0,14.0,30.0,0.0,0.0,0.0
Year0,2,18.0,0.0,30.0,0.0,0.0,0.0
Year2,0,-18.0,-14.0,30.0,0.0,0.0,0.0
Year2,1,0.0,14.0,30.0,0.0,0.0,0.0
Year2,2,18.0,0.0,30.0,0.0,0.0,0.0
Year5,0,-18.0,-14.0,30.0,0.0,0.0,0.0
Year5,1,0.0,14.0,30.0,0.0,0.0,0.0
Year5,2,18.0,0.0,30.0,0.0,0.0,0.0
Year10,0,-18.0,-14.0,30.0,0.0,0.0,0.0
Year10,1,0.0,14.0,30.0,0.0,0.0,0.0
Year10,2,18.0,0.0,30.0,0.0,0.0,0.0
CaseAppearance,0,-18.0,-14.0,30.0,0.0,0.0,0.0
CaseAppearance,1,0.0,14.0,30.0,0.0,0.0,0.0
CaseAppearance,2,18.0,0.0,30.0,0.0,0.0,0.0
CaseStructural,0,-18.0,-14.0,30.0,0.0,0.0,0.0
CaseStructural,1,0.0,14.0,30.0,0.0,0.0,0.0
CaseStructural,2,18.0,0.0,30.0,0.0,0.0,0.0
