time_s,context,numSV,hdop,cn0_mean,gnss_hAcc,lidar_score,lidar_feature_count,rel_gnss,rel_lidar,rel_localization,sigma_gnss_m,sigma_lidar_pos_m,sigma_lidar_yaw_deg,n_particles,ess,ess_ratio,meas_dim,rule_R1,rule_R2,rule_R3,rule_R4,rule_R5,rule_R6,rule_R7,rule_R8,rule_R9,rule_R10
0,OpenSky,16,0.783381187597611,43.273446673507,0.714044041043221,0.897310015234189,337,1,0.837972710206907,1,0.9,0.3,1.03627558373926,600,1.50765671059091,0.00251276118431818,5,0,0,0,1,0,0,0,0,1,1
0.1,OpenSky,17,0.969465533806242,44.6002343952813,0.857019106137768,1,387,0,0.948025,0.948025,NaN,0.3,0.824312605625,700,551.924635784522,0.78846376540646,3,1,0,0,0,0,0,0,0,0,1
0.2,OpenSky,17,1.01941496861807,39.9497101315481,0.831388340837074,0.89918997712424,447,0.967667729958787,0.929982284673241,0.997736168320386,0.9,0.3,0.844122324136212,700,122.814267622149,0.175448953745928,5,0,0,0,1,0,0,0,0,1,1
0.3,OpenSky,17,0.987924932736666,42.726509481148,0.746651161148474,0.8410918015375,472,0,0.893531507030125,0.893531507030125,NaN,0.3,0.902019859957488,700,298.961183979543,0.427087405685061,3,1,0,0,0,0,0,0,0,0,1
0.4,OpenSky,16,0.725526966574423,42.1272773270813,0.856577055931395,0.887886186980426,407,1,0.889408745276886,1,0.9,0.3,0.910073830591095,700,467.006914559072,0.667152735084389,5,0,0,0,1,0,0,0,0,1,1
0.5,OpenSky,15,0.919060302825924,43.1089387802038,0.736172761134129,0.993432775221361,403,0,0.956824959398312,0.956824959398312,NaN,0.3,0.816776757178617,700,400.806479558936,0.572580685084195,3,1,0,0,0,0,0,0,0,0,1
0.6,OpenSky,17,0.951370130586337,41.2196702880089,0.801197341354768,0.927034035587795,403,0.992645890571654,0.912337803843823,0.999355322616738,0.9,0.3,0.869161945714317,700,365.479454360965,0.52211350622995,5,0,0,0,1,0,0,0,0,1,1
0.7,OpenSky,18,0.875615108415837,43.1243358421294,1.03908986990481,0.916173070433584,422,0,0.920735957190501,0.920735957190501,NaN,0.3,0.856545096342554,850,700.130477767146,0.823682915020171,3,1,0,0,0,0,0,0,0,0,1
0.8,OpenSky,17,0.736240564773438,43.8855573160832,0.814552843248522,0.920699775235794,416,1,0.918818849407982,1,0.9,0.3,0.859313412902995,600,411.893878569712,0.686489797616187,5,0,0,0,1,0,0,0,0,1,1
0.9,OpenSky,16,0.803962314099466,44.1560981011794,0.658422572275003,0.87847482036626,391,0,0.869903129645394,0.869903129645394,NaN,0.3,0.952326761084568,850,752.081818149334,0.884802138999217,3,1,0,0,0,0,0,0,0,0,1
1,OpenSky,15,0.899435969189917,41.5738240818967,0.683146343152892,0.821534312319876,451,0.983648969978631,0.880427989254317,0.998044874462582,0.9,0.3,0.928677191783892,650,473.013617612412,0.72771325786525,5,0,0,0,1,0,0,0,0,1,1
1.1,OpenSky,19,0.938805781382213,41.7627541348636,0.902630557584326,0.943024791381478,415,0,0.93295161022559,0.93295161022559,NaN,0.3,0.840459379142071,650,192.891831512712,0.29675666386571,3,1,0,0,0,0,0,0,0,0,1
1.2,OpenSky,19,0.878501498825312,42.7429877005225,0.706005391348891,0.308428589313981,186,1,0.318847154840368,1,0.9,1.33992299617266,4.97572278622156,650,611.268143040296,0.940412527754301,5,0,0,0,1,0,0,0,0,1,0
1.3,OpenSky,16,0.834793950132881,42.3846482476905,0.928416520717336,0.878915357605396,413,0,0.888348289595616,0.888348289595616,NaN,0.3,0.912194939926021,750,457.564843473349,0.610086457964466,3,1,0,0,0,0,0,0,0,0,1
1.4,OpenSky,16,0.879567877826695,44.8478924863118,0.750575621335327,0.931097559941401,399,1,0.911760365160739,1,0.9,0.3,0.870076098409096,750,321.459134198629,0.428612178931505,5,0,0,0,1,0,0,0,0,1,1
